name,salary_from,salary_to,salary_currency,area_name,published_at
Наладчик технологического оборудования,40000,40000,RUR,Томск,2022-12-21T05:35:53+0300
Токарь,65000,,RUR,Ижевск,2022-12-21T09:48:32+0300
Инженер первой линии поддержки (системный администратор),45000,50000,RUR,Новосибирск,2022-12-21T07:47:35+0300
Специалист по изучению поисковой выдачи в Яндекс,,65000,RUR,Екатеринбург,2022-12-21T08:34:46+0300
Программист 1C,100000,,RUR,Красноярск,2022-12-21T07:28:11+0300
Инженер по информационной безопасности,96000,160000,RUR,Казань,2022-12-21T08:57:41+0300
Наладчик производственного оборудования,40000,,RUR,Краснодар,2022-12-21T09:50:24+0300
Механик цеха,50577,,RUR,Усолье-Сибирское,2022-12-21T03:23:53+0300
Программист станков с ЧПУ,75000,,RUR,Санкт-Петербург,2022-12-21T08:19:10+0300
Ведущий специалист Отдела автоматизации и связи,,51000,RUR,Самара,2022-12-21T09:21:59+0300
Станочник деревообрабатывающих станков,1000,,BYR,Брест,2022-12-21T09:24:13+0300
Контролер технического состояния транспортных средств,54000,54000,RUR,Высоковск,2022-12-21T09:26:37+0300
Аналитик отдела продаж,70000,80000,RUR,Москва,2022-12-21T00:08:36+0300
Дизайнер женской одежды,80000,,RUR,Москва,2022-12-21T08:38:52+0300
Оператор,40000,55000,RUR,Сургут,2022-12-21T07:30:04+0300
Территориальный системный администратор,75000,,RUR,Барнаул,2022-12-21T07:47:16+0300
Сервисный инженер-механик,70000,,RUR,Киселевск,2022-12-21T06:54:44+0300
Электромеханик/электромонтер,52000,74000,RUR,Ростов-на-Дону,2022-12-21T09:01:06+0300
Инженер-механик,60000,,RUR,Екатеринбург,2022-12-21T06:38:37+0300
Middle/Senior Frontend разработчик (Vue.js),130000,150000,RUR,Санкт-Петербург,2022-12-21T07:48:11+0300
Оператор резьбонакатного станка,40000,,RUR,Таганрог,2022-12-21T09:53:01+0300
Системный администратор,25000,,RUR,Гуково,2022-12-21T08:44:59+0300
Инженер-программист станков с ЧПУ / оператор станков с ЧПУ,70000,,RUR,Ульяновск,2022-12-21T09:23:13+0300
Монтажник радиоэлектронной аппаратуры и приборов (Монтажник РЭА и П цех поверхностного монтажа),80000,,RUR,Санкт-Петербург,2022-12-21T09:41:41+0300
Руководитель аварийно-ремонтной службы,43670,43670,RUR,Челябинск,2022-12-21T09:03:04+0300
Системный аналитик,45000,,RUR,Всеволожск,2022-12-21T09:33:03+0300
Оператор лазерной резки с ЧПУ,55000,,RUR,Иркутск,2022-12-21T06:07:42+0300
Программист 1С,180000,,RUR,Москва,2022-12-21T09:54:43+0300
Токарь,45000,,RUR,Красноярск,2022-12-21T04:29:10+0300
Java-разработчик,,1000000,KZT,Алматы,2022-12-21T05:25:21+0300
Бизнес-аналитик,150000,,RUR,Санкт-Петербург,2022-12-21T00:50:13+0300
Специалист по изучению поисковой выдачи в Яндекс,,65000,RUR,Новосибирск,2022-12-21T08:34:49+0300
Системный администратор,80000,150000,RUR,Вологда,2022-12-21T09:37:34+0300
Специалист по технической поддержке информационно-коммуникационных систем,35000,40000,RUR,Нижний Новгород,2022-12-21T09:41:26+0300
Web-разработчик (fullstack),73000,,RUR,Уфа,2022-12-21T09:44:07+0300
